Tarih,Rakip,Ev Sahibi/Deplasman,MS Gol,İY Gol,MS Yenilen Gol,İY Yenilen Gol,Sonuç,Topla Oynama,İkili Mücadele Kazanma,Hava Topu Kazanma,Pas Arası,Ofsayt,Korner,Toplam Pas,İsabetli Pas,Pas İsabeti %,Toplam Orta,İsabetli Orta,Toplam Şut,İsabetli Şut,İsabetsiz Şut,Engellenen Şut,Direkten Dönen Şut,Gol Beklentisi (xG),Rakip Ceza Sahasında Topla Buluşma,Pas Arası,Uzaklaştırma,Faul,Sarı Kart,İkinci Sarıdan Kırmızı Kart,Kırmızı Kart
11.04.2021,Ankaragücü,Deplasman,1,0,2,0,Mağlup,%47,56,17,20,1,3,377,276,"%73,2",16,3,12,6,4,2,0,"0,95",14,20,13,20,4,0,0
16.04.2021,Sivasspor,Ev Sahibi,2,2,3,0,Mağlup,%41,40,9,10,0,3,367,293,"%79,8",11,4,8,5,3,0,0,"0,72",11,10,23,11,2,0,0
20.04.2021,Kayserispor,Deplasman,2,0,2,1,Berabere,%43,53,12,10,1,3,385,303,"%78,7",18,4,9,3,5,1,0,"1,85",13,10,22,11,2,0,0
23.04.2021,Ç. Rizespor,Ev Sahibi,2,1,1,0,Galip,%50,49,24,7,0,4,449,348,"%77,5",20,5,12,6,4,2,1,"1,25",12,7,27,11,1,0,0
27.04.2021,Hatayspor,Deplasman,1,0,3,1,Mağlup,%51,42,9,8,0,4,426,348,"%81,7",20,5,18,6,9,3,0,"2,49",23,8,14,10,2,0,0
2.05.2021,Galatasaray,Ev Sahibi,0,0,2,1,Mağlup,%36,40,7,9,0,2,289,214,"%74,0",16,6,6,1,2,3,0,"0,26",10,9,11,10,1,0,0
8.05.2021,F. Karagümrük,Deplasman,1,0,5,2,Mağlup,%43,54,11,13,3,6,388,314,"%80,9",14,2,9,3,3,3,0,"0,51",9,13,12,10,2,0,0
11.05.2021,Göztepe,Ev Sahibi,5,1,3,2,Galip,%43,45,5,7,0,4,383,326,"%85,1",16,4,15,9,4,2,0,"2,14",20,7,8,8,2,0,0
15.05.2021,Trabzonspor,Deplasman,1,0,2,1,Mağlup,%35,46,16,19,1,2,343,260,"%75,8",16,4,9,4,5,0,1,"1,11",10,19,10,8,2,0,0
17.08.2019,Ç. Rizespor,Ev Sahibi,0,0,1,0,Mağlup,%50,45,18,10,4,4,407,318,"%78,1",21,5,8,1,7,0,1,"0,78",10,10,8,16,3,1,0
26.08.2019,Gaziantep FK,Deplasman,1,0,4,2,Mağlup,%43,51,6,16,2,6,313,227,"%72,5",17,5,12,4,4,4,1,"1,64",28,16,7,8,1,0,2
1.09.2019,Başakşehir,Ev Sahibi,1,1,2,0,Mağlup,%42,51,20,12,1,4,327,237,"%72,5",10,2,8,5,3,0,0,"0,71",13,12,18,26,5,0,0
15.09.2019,Trabzonspor,Deplasman,2,1,2,1,Berabere,%47,52,8,11,2,4,411,332,"%80,8",20,2,15,6,3,6,0,"1,51",23,11,11,15,2,0,0
22.09.2019,Alanyaspor,Ev Sahibi,1,1,1,0,Berabere,%55,80,20,3,4,1,437,315,"%72,1",12,4,12,4,6,2,0,"1,64",14,3,23,15,3,0,0
29.09.2019,Ankaragücü,Deplasman,1,0,2,0,Mağlup,%58,51,19,6,1,9,388,296,"%76,3",31,7,15,5,6,4,1,"1,91",22,6,7,11,2,0,0
5.10.2019,Galatasaray,Ev Sahibi,0,0,0,0,Berabere,%31,51,15,19,6,4,250,185,"%74,0",19,6,20,6,7,7,0,"1,24",17,19,19,19,6,1,0
19.10.2019,Antalyaspor,Deplasman,6,5,0,0,Galip,%59,35,5,9,2,1,576,519,"%90,1",8,2,11,9,1,1,0,"2,21",22,9,10,16,2,0,0
27.10.2019,Denizlispor,Ev Sahibi,0,0,2,1,Mağlup,%62,51,18,13,3,6,530,423,"%79,8",31,10,17,7,6,4,2,"1,83",20,13,13,13,1,0,0
2.11.2019,Konyaspor,Deplasman,1,0,1,1,Berabere,%50,58,20,6,3,7,440,352,"%80,0",37,10,15,2,7,6,1,"1,29",22,6,8,9,2,0,0
9.11.2019,Kayserispor,Ev Sahibi,2,1,1,0,Galip,%47,46,18,6,4,2,422,338,"%80,1",16,5,15,6,5,4,0,"2,15",19,6,11,13,2,0,0
24.11.2019,Kasımpaşa,Deplasman,2,0,1,0,Galip,%47,44,11,16,3,7,438,370,"%84,5",40,10,17,3,6,8,0,"2,06",23,16,23,13,1,0,0
29.11.2019,Yeni Malatyaspor,Ev Sahibi,3,0,3,1,Berabere,%46,53,13,4,1,10,298,242,"%81,2",31,3,16,8,7,1,1,"1,78",20,4,10,15,2,0,0
6.12.2019,Fenerbahçe,Deplasman,2,1,5,3,Mağlup,%43,58,15,13,1,4,384,290,"%75,5",22,3,14,6,3,5,0,"0,90",12,13,14,12,4,0,0
14.12.2019,Göztepe,Ev Sahibi,3,2,1,1,Galip,%44,48,14,12,0,2,348,276,"%79,3",15,3,8,5,3,0,0,"1,97",12,12,15,17,3,0,0
22.12.2019,Sivasspor,Ev Sahibi,2,0,2,1,Berabere,%46,52,21,6,2,8,350,246,"%70,3",20,2,17,7,5,5,0,"2,19",27,6,21,15,3,0,0
27.12.2019,Beşiktaş,Deplasman,1,1,4,0,Mağlup,%25,46,15,5,2,5,223,139,"%62,3",11,0,6,3,2,1,0,"0,77",9,5,25,10,4,0,2
20.01.2020,Ç. Rizespor,Deplasman,0,0,2,0,Mağlup,%43,58,14,12,1,0,382,308,"%80,6",23,5,13,3,7,3,0,"1,00",15,12,14,15,1,0,0
24.01.2020,Gaziantep FK,Ev Sahibi,1,0,0,0,Galip,%56,49,10,7,3,10,408,330,"%80,9",25,3,16,4,8,4,1,"1,90",27,7,14,11,3,0,0
31.01.2020,Başakşehir,Deplasman,1,1,3,1,Mağlup,%50,46,14,8,1,8,418,334,"%79,9",35,8,13,5,5,3,0,"0,66",20,8,16,13,1,0,0
8.02.2020,Trabzonspor,Ev Sahibi,0,0,2,0,Mağlup,%42,61,20,9,0,5,281,214,"%76,2",32,7,13,2,5,6,0,"1,11",22,9,20,19,8,0,0
16.02.2020,Alanyaspor,Deplasman,1,0,0,0,Galip,%42,52,14,14,1,7,321,240,"%74,8",25,4,14,6,5,3,1,"2,18",22,14,19,8,2,0,0
23.02.2020,Ankaragücü,Ev Sahibi,1,0,0,0,Galip,%65,62,19,1,2,6,474,393,"%82,9",33,6,14,3,8,3,0,"0,76",16,1,18,21,3,0,0
1.03.2020,Galatasaray,Deplasman,0,0,3,2,Mağlup,%39,36,7,7,4,10,324,253,"%78,1",24,5,9,2,4,3,0,"0,41",17,7,15,10,4,0,0
9.03.2020,Antalyaspor,Ev Sahibi,1,0,1,0,Berabere,%49,43,15,6,1,8,398,326,"%81,9",23,9,20,8,7,5,0,"2,67",25,6,12,11,3,0,0
14.03.2020,Denizlispor,Deplasman,0,0,1,0,Mağlup,%52,39,13,7,0,10,372,294,"%79,0",33,6,13,2,9,2,0,"0,51",18,7,13,11,2,0,0
14.06.2020,Konyaspor,Ev Sahibi,2,0,1,0,Galip,%46,47,12,10,1,4,389,319,"%82,0",21,5,12,3,5,4,0,"1,09",21,10,5,15,2,0,0
20.06.2020,Kayserispor,Deplasman,0,0,2,1,Mağlup,%49,44,12,3,0,12,399,349,"%87,5",43,8,16,3,6,7,1,"1,27",13,3,10,9,3,0,0
29.06.2020,Kasımpaşa,Ev Sahibi,0,0,2,1,Mağlup,%55,24,7,5,0,4,479,408,"%85,2",25,6,12,3,8,1,0,"1,08",15,5,5,13,2,0,0
4.07.2020,Yeni Malatyaspor,Deplasman,0,0,0,0,Berabere,%61,38,13,6,2,8,473,373,"%78,9",18,4,8,1,5,2,1,"1,35",16,6,17,7,2,0,0
7.07.2020,Fenerbahçe,Ev Sahibi,1,0,1,0,Berabere,%28,45,16,7,0,6,212,140,"%66,0",12,5,16,5,8,3,0,"2,84",16,7,31,13,3,0,0
11.07.2020,Göztepe,Deplasman,3,2,1,0,Galip,%35,31,9,9,1,0,316,226,"%71,5",8,2,5,3,1,1,0,"0,97",9,9,21,13,1,0,0
19.07.2020,Sivasspor,Deplasman,0,0,2,1,Mağlup,%55,47,14,5,3,6,365,283,"%77,5",23,1,9,5,2,2,1,"0,39",8,5,8,9,1,0,0
25.07.2020,Beşiktaş,Ev Sahibi,0,0,3,0,Mağlup,%39,54,16,16,2,7,281,197,"%70,1",15,3,14,4,7,3,0,"1,23",20,16,10,15,2,0,0
12.08.2017,Karabükspor,Ev Sahibi,1,1,1,1,Berabere,%44,55,26,22,3,4,275,166,"%60,4",14,1,6,3,3,0,0,0,7,22,35,19,2,0,0
21.08.2017,Konyaspor,Deplasman,0,0,3,2,Mağlup,%44,50,19,17,3,2,371,267,"%72,0",18,5,7,3,2,2,0,0,7,17,14,15,1,0,0
27.08.2017,Fenerbahçe,Ev Sahibi,1,1,2,1,Mağlup,%30,37,14,21,1,8,221,128,"%57,9",20,5,9,2,3,4,0,0,12,21,24,13,2,1,1
10.09.2017,Trabzonspor,Deplasman,1,1,3,0,Mağlup,%36,46,15,13,0,5,253,156,"%61,7",9,1,9,3,4,2,0,0,6,13,37,22,7,0,0
17.09.2017,Göztepe,Deplasman,2,1,3,2,Mağlup,%53,61,20,10,5,6,376,275,"%73,1",19,4,14,7,6,1,0,0,21,10,23,17,4,0,0
23.09.2017,Başakşehir,Ev Sahibi,1,0,0,0,Galip,%42,47,12,16,1,3,301,199,"%66,1",18,3,13,6,5,2,0,0,11,16,34,19,3,0,0
1.10.2017,Alanyaspor,Deplasman,1,0,4,2,Mağlup,%59,41,9,11,0,4,503,420,"%83,5",33,5,8,4,3,1,0,0,17,11,8,21,4,0,0
13.10.2017,Beşiktaş,Ev Sahibi,2,1,1,0,Galip,%34,31,16,11,5,4,286,198,"%69,2",11,2,13,6,4,3,0,"1,64",13,11,38,22,3,0,0
21.10.2017,Akhisarspor,Deplasman,3,3,3,1,Berabere,%35,38,11,16,0,3,272,172,"%63,2",12,5,10,5,1,4,0,0,12,16,23,17,2,1,0
28.10.2017,Yeni Malatyaspor,Ev Sahibi,0,0,1,0,Mağlup,%33,39,12,12,3,2,272,204,"%75,0",18,4,5,1,4,0,0,"0,54",10,12,32,17,1,0,1
3.11.2017,Galatasaray,Deplasman,1,0,5,2,Mağlup,%39,36,10,14,1,7,323,235,"%72,8",23,5,9,3,5,1,0,"1,01",17,14,22,18,5,0,0
19.11.2017,Kayserispor,Ev Sahibi,1,1,2,1,Mağlup,%44,69,30,16,7,4,295,191,"%64,7",20,7,12,3,5,4,0,"1,57",23,16,22,19,0,0,0
24.11.2017,Sincan Bld Ankaraspor,Deplasman,0,0,2,1,Mağlup,%55,78,20,15,2,9,421,312,"%74,1",38,7,13,3,7,3,2,"2,10",16,15,14,14,1,0,0
3.12.2017,Sivasspor,Ev Sahibi,4,1,0,0,Galip,%32,52,19,17,3,6,243,147,"%60,5",15,4,16,9,5,2,1,"2,73",16,17,30,17,4,0,0
9.12.2017,Antalyaspor,Deplasman,1,0,1,0,Berabere,%35,52,17,13,1,6,276,189,"%68,5",14,3,11,4,3,4,0,"1,33",21,13,32,20,4,0,0
16.12.2017,Kasımpaşa,Ev Sahibi,0,0,0,0,Berabere,%54,57,20,13,2,7,358,246,"%68,7",34,5,11,4,4,3,0,"0,66",20,13,13,13,2,0,0
23.12.2017,Bursaspor,Deplasman,1,0,1,0,Berabere,%27,55,23,16,3,2,231,143,"%61,9",6,3,7,4,2,1,0,"0,69",13,16,46,31,4,0,0
20.01.2018,Karabükspor,Deplasman,2,0,0,0,Galip,%44,63,20,10,4,2,353,258,"%73,1",26,4,11,4,6,1,1,"1,75",17,10,38,20,3,0,0
26.01.2018,Konyaspor,Ev Sahibi,2,0,1,1,Galip,%41,70,26,14,0,0,310,216,"%69,7",10,3,13,3,5,5,0,"1,07",13,14,35,12,3,0,1
3.02.2018,Fenerbahçe,Deplasman,2,1,2,0,Berabere,%41,72,34,17,1,3,319,205,"%64,3",15,4,8,1,7,0,0,"1,56",10,17,33,18,5,0,0
10.02.2018,Trabzonspor,Ev Sahibi,0,0,0,0,Berabere,%42,55,21,20,1,7,337,245,"%72,7",19,5,17,6,6,5,1,"1,24",24,20,21,15,1,0,0
19.02.2018,Göztepe,Ev Sahibi,3,1,0,0,Galip,%47,44,9,12,3,2,423,333,"%78,7",12,4,19,11,5,3,1,"3,62",29,12,12,17,1,0,0
26.02.2018,Başakşehir,Deplasman,1,0,1,1,Berabere,%38,54,19,10,4,5,343,240,"%70,0",17,5,10,1,7,2,0,"0,88",17,10,21,14,0,0,0
4.03.2018,Alanyaspor,Ev Sahibi,0,0,1,0,Mağlup,%53,60,13,15,2,6,379,257,"%67,8",22,3,8,3,1,4,0,"0,63",7,15,6,15,4,0,0
10.03.2018,Beşiktaş,Deplasman,0,0,1,0,Mağlup,%34,55,20,16,1,2,297,201,"%67,7",9,2,6,3,2,1,0,"0,32",6,16,30,18,2,0,0
17.03.2018,Akhisarspor,Ev Sahibi,1,0,1,1,Berabere,%51,58,19,20,1,5,442,330,"%74,7",18,5,11,5,5,1,1,"1,04",17,20,16,10,2,0,0
31.03.2018,Yeni Malatyaspor,Deplasman,1,1,4,1,Mağlup,%45,54,17,11,3,4,367,276,"%75,2",10,2,6,4,2,0,0,"0,24",9,11,21,13,1,0,0
9.04.2018,Galatasaray,Ev Sahibi,1,0,0,0,Galip,%24,48,19,11,4,5,204,116,"%56,9",13,5,11,2,5,4,0,"1,78",12,11,31,18,2,0,0
15.04.2018,Kayserispor,Deplasman,2,0,3,2,Mağlup,%39,65,25,10,2,7,341,238,"%69,8",16,6,13,6,4,3,1,"1,72",30,10,19,13,3,0,0
21.04.2018,Sincan Bld Ankaraspor,Ev Sahibi,0,0,3,1,Mağlup,%58,66,28,21,0,4,445,333,"%74,8",23,2,10,3,5,2,1,"1,32",19,21,13,19,2,0,0
28.04.2018,Sivasspor,Deplasman,0,0,1,1,Mağlup,%46,56,19,17,4,5,462,361,"%78,1",20,1,5,3,1,1,0,"0,31",22,17,19,12,4,0,0
6.05.2018,Antalyaspor,Ev Sahibi,0,0,1,0,Mağlup,%55,82,32,8,3,4,401,312,"%77,8",32,3,11,2,6,3,0,"0,83",23,8,15,16,3,0,0
12.05.2018,Kasımpaşa,Deplasman,1,0,3,1,Mağlup,%45,55,13,12,1,5,392,323,"%82,4",31,7,14,8,5,1,0,"2,27",27,12,8,9,2,1,0
18.05.2018,Bursaspor,Ev Sahibi,1,1,0,0,Galip,%48,74,17,24,2,3,450,344,"%76,4",16,3,11,4,5,2,0,"1,06",21,24,13,11,0,0,0
21.08.2016,Gaziantepspor,Ev Sahibi,2,1,0,0,Galip,%51,49,15,25,3,4,372,284,"%76,3",17,4,13,2,7,4,1,0,18,25,18,19,4,0,0
28.08.2016,Sincan Bld Ankaraspor,Deplasman,2,1,2,2,Berabere,%59,56,11,22,0,4,374,298,"%79,7",36,6,16,9,5,2,0,0,17,22,8,16,2,0,0
10.09.2016,Alanyaspor,Ev Sahibi,0,0,0,0,Berabere,%56,49,26,21,2,5,470,352,"%74,9",27,5,12,1,8,3,0,0,18,21,5,18,1,0,0
18.09.2016,Konyaspor,Deplasman,1,1,1,0,Berabere,%40,40,16,27,2,3,325,219,"%67,4",17,1,8,3,4,1,0,0,9,27,6,19,2,0,0
25.09.2016,Karabükspor,Ev Sahibi,2,0,0,0,Galip,%63,64,16,17,3,5,504,410,"%81,3",24,4,10,4,5,1,0,0,27,17,11,16,1,0,0
30.09.2016,Akhisarspor,Deplasman,0,0,0,0,Berabere,%46,52,13,25,2,2,401,271,"%67,6",10,1,9,2,4,3,0,0,13,25,22,15,0,0,0
